region,sector,gas_type,time_period,multiplier,confidence,description,reference,year
Global,Energy,CO2,1990-2000,0.93,0.61,Energy CO2 multiplier for Global in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Global,Energy,CH4,1990-2000,1.02,0.61,Energy CH4 multiplier for Global in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Global,Energy,N2O,1990-2000,0.84,0.6,Energy N2O multiplier for Global in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Global,Energy,F-gases,1990-2000,0.76,0.79,Energy F-gases multiplier for Global in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Global,Energy,CO2,2000-2010,0.98,0.85,Energy CO2 multiplier for Global in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Global,Energy,CH4,2000-2010,1.14,0.69,Energy CH4 multiplier for Global in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Global,Energy,N2O,2000-2010,0.79,0.67,Energy N2O multiplier for Global in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Global,Energy,F-gases,2000-2010,0.85,0.63,Energy F-gases multiplier for Global in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Global,Energy,CO2,2010-2019,0.79,0.84,Energy CO2 multiplier for Global in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Global,Energy,CH4,2010-2019,0.95,0.79,Energy CH4 multiplier for Global in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Global,Energy,N2O,2010-2019,0.69,0.78,Energy N2O multiplier for Global in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Global,Energy,F-gases,2010-2019,0.6,0.87,Energy F-gases multiplier for Global in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Global,Energy,CO2,2019-present,0.72,0.85,Energy CO2 multiplier for Global in 2019-present,IPCC AR6 WG3 (Simulated),2022
Global,Energy,CH4,2019-present,0.95,0.8,Energy CH4 multiplier for Global in 2019-present,IPCC AR6 WG3 (Simulated),2022
Global,Energy,N2O,2019-present,0.65,0.79,Energy N2O multiplier for Global in 2019-present,IPCC AR6 WG3 (Simulated),2022
Global,Energy,F-gases,2019-present,0.66,0.71,Energy F-gases multiplier for Global in 2019-present,IPCC AR6 WG3 (Simulated),2022
North America,Energy,CO2,1990-2000,0.65,0.61,Energy CO2 multiplier for North America in 1990-2000,IPCC AR6 WG3 (Simulated),2022
North America,Energy,CH4,1990-2000,0.86,0.77,Energy CH4 multiplier for North America in 1990-2000,IPCC AR6 WG3 (Simulated),2022
North America,Energy,N2O,1990-2000,0.64,0.78,Energy N2O multiplier for North America in 1990-2000,IPCC AR6 WG3 (Simulated),2022
North America,Energy,F-gases,1990-2000,0.58,0.87,Energy F-gases multiplier for North America in 1990-2000,IPCC AR6 WG3 (Simulated),2022
North America,Energy,CO2,2000-2010,0.69,0.86,Energy CO2 multiplier for North America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
