entity_id,entity_name,entity_type,ef_value,ef_unit,region,source_dataset,confidence,timestamp,tags
Crop cultivation,Crop cultivation,product,4.865696287436099,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Animal farming,Animal farming,product,1.993257175010542,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Forestry,Forestry,product,2.0954752706354074,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Fishing,Fishing,product,1.0948548894283976,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Coal mining,Coal mining,product,19.793343015001668,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Oil extraction,Oil extraction,product,6.163850884839976,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Natural gas extraction,Natural gas extraction,product,16.971319299572084,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Food processing,Food processing,product,3.9734568632725944,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Textiles,Textiles,product,2.059110103586881,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Wood products,Wood products,product,1.5343629357771351,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Paper products,Paper products,product,2.178660841042962,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Chemical products,Chemical products,product,3.38889839582946,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Plastic products,Plastic products,product,4.751505696632659,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Glass products,Glass products,product,0.5769208449137877,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Metal products,Metal products,product,2.2900925543195254,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Machinery,Machinery,product,1.4974640912779045,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Electronics,Electronics,product,1.3377106121093096,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Vehicles,Vehicles,product,3.43793771548233,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Electricity,Electricity,product,7.175543975597532,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Water supply,Water supply,product,3.4522439903168367,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Waste management,Waste management,product,0.5036209285794806,kg CO2e/EUR,AT,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:AT']
Crop cultivation,Crop cultivation,product,3.16382798340322,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Animal farming,Animal farming,product,2.765224608985162,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Forestry,Forestry,product,4.206608594398489,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Fishing,Fishing,product,4.380769279823431,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Coal mining,Coal mining,product,5.277370280459084,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Oil extraction,Oil extraction,product,15.94701207508991,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Natural gas extraction,Natural gas extraction,product,9.678383119645057,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Food processing,Food processing,product,2.3091859046356404,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Textiles,Textiles,product,2.2343864518381835,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
Wood products,Wood products,product,0.6844962549802324,kg CO2e/EUR,BE,EXIOBASE_3.8,0.75,2025-03-13,['EXIOBASE region:BE']
