entity_id,entity_name,entity_type,ef_value,ef_unit,region,source_dataset,confidence,timestamp,tags,is_outlier,metadata
OPENLCA_Agriculture_Agriculture_-_Production_Carbon_dioxide,Agriculture - Production,process,9.423505919629061,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Production"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Production_Methane,Agriculture - Production,process,0.39355697865993144,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Production"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Production_Nitrous_oxide,Agriculture - Production,process,0.0872306675263881,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Production"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Processing_Carbon_dioxide,Agriculture - Processing,process,9.45126045291002,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Processing"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Processing_Methane,Agriculture - Processing,process,0.5765980900280231,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Processing"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Processing_Nitrous_oxide,Agriculture - Processing,process,0.09314304094497476,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Processing"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Distribution_Carbon_dioxide,Agriculture - Distribution,process,4.534806673545903,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Distribution"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Distribution_Methane,Agriculture - Distribution,process,0.231538184514109,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Distribution"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Distribution_Nitrous_oxide,Agriculture - Distribution,process,0.04529323428998095,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Distribution"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Use_Carbon_dioxide,Agriculture - Use,process,8.521597713285102,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Use"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Use_Methane,Agriculture - Use,process,0.5498737493022713,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Use"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Use_Nitrous_oxide,Agriculture - Use,process,0.11104711896400964,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Use"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_End-of-life_Carbon_dioxide,Agriculture - End-of-life,process,12.30027761958559,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",True,"{""source"": ""OpenLCA"", ""process_type"": ""End-of-life"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_End-of-life_Methane,Agriculture - End-of-life,process,0.6081075038208932,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""End-of-life"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_End-of-life_Nitrous_oxide,Agriculture - End-of-life,process,0.08223975673017947,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""End-of-life"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Recycling_Carbon_dioxide,Agriculture - Recycling,process,10.561708328411887,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Recycling"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Recycling_Methane,Agriculture - Recycling,process,0.48436784015263123,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Recycling"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Recycling_Nitrous_oxide,Agriculture - Recycling,process,0.08981993025487431,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Recycling"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Disposal_Carbon_dioxide,Agriculture - Disposal,process,6.927773837435079,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Disposal"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Disposal_Methane,Agriculture - Disposal,process,0.4030012032242705,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Disposal"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Disposal_Nitrous_oxide,Agriculture - Disposal,process,0.08326836525868746,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Disposal"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Transport_Carbon_dioxide,Agriculture - Transport,process,12.848406255015021,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",True,"{""source"": ""OpenLCA"", ""process_type"": ""Transport"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Transport_Methane,Agriculture - Transport,process,0.9029305445809247,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Transport"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Transport_Nitrous_oxide,Agriculture - Transport,process,0.1812756643172863,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Transport"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Storage_Carbon_dioxide,Agriculture - Storage,process,11.715884391637715,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",True,"{""source"": ""OpenLCA"", ""process_type"": ""Storage"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Storage_Methane,Agriculture - Storage,process,0.48428573963072596,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Storage"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Storage_Nitrous_oxide,Agriculture - Storage,process,0.11364190228821104,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Storage"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Extraction_Carbon_dioxide,Agriculture - Extraction,process,13.41675768420501,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Carbon dioxide']",True,"{""source"": ""OpenLCA"", ""process_type"": ""Extraction"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Extraction_Methane,Agriculture - Extraction,process,0.6429963986875042,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Methane']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Extraction"", ""category"": ""Agriculture""}"
OPENLCA_Agriculture_Agriculture_-_Extraction_Nitrous_oxide,Agriculture - Extraction,process,0.12021214484554928,kg CO2e,GLB,OpenLCA,0.7,2025-03-13,"['category:Agriculture', 'flow:Nitrous oxide']",False,"{""source"": ""OpenLCA"", ""process_type"": ""Extraction"", ""category"": ""Agriculture""}"
