LCI_Name,ProductName,PEF_categoria,Climate_change_-_total,Unit,DQR
1001,Cereal product 1,Cereal products,3.14,kg,0.9445810028662253
1002,Cereal product 2,Cereal products,2.88,kg,0.9101000231610046
1003,Cereal product 3,Cereal products,2.82,kg,0.9927775131403145
1004,Cereal product 4,Cereal products,3.28,kg,0.7334645739054019
1005,Cereal product 5,Cereal products,3.32,kg,0.9745985604241839
1006,Cereal product 6,Cereal products,2.87,kg,0.824631717436586
1007,Cereal product 7,Cereal products,3.02,kg,0.7495837797120902
1008,Cereal product 8,Cereal products,2.09,kg,0.7607097056740139
1009,Cereal product 9,Cereal products,4.75,kg,0.7873017544285463
1010,Cereal product 10,Cereal products,4.83,kg,0.7280660214583654
1011,Cereal product 11,Cereal products,40.8,kg,0.743765935596618
1012,Cereal product 12,Cereal products,1.06,kg,0.9447873686312626
1013,Cereal product 13,Cereal products,3.83,kg,0.911649977335381
1014,Cereal product 14,Cereal products,1.54,kg,0.7190630685640826
1015,Cereal product 15,Cereal products,4.9,kg,0.9548075226087901
1016,Cereal product 16,Cereal products,0.53,kg,0.7606195245213265
1017,Cereal product 17,Cereal products,1.26,kg,0.8125269692051313
1018,Cereal product 18,Cereal products,1.01,kg,0.8786501099042374
1019,Cereal product 19,Cereal products,1.24,kg,0.763841431105354
1020,Cereal product 20,Cereal products,0.57,kg,0.8752820884775643
1021,Cereal product 21,Cereal products,4.21,kg,0.8704735700798499
1022,Cereal product 22,Cereal products,2.48,kg,0.7900370617792439
1023,Cereal product 23,Cereal products,0.98,kg,0.729402847931604
1024,Cereal product 24,Cereal products,4.31,kg,0.8932414100519895
1025,Cereal product 25,Cereal products,1.75,kg,0.765925715579539
1026,Cereal product 26,Cereal products,2.38,kg,0.8221638349463717
1027,Cereal product 27,Cereal products,2.45,kg,0.7027578454775967
1028,Cereal product 28,Cereal products,0.88,kg,0.7232289808623998
1029,Cereal product 29,Cereal products,3.92,kg,0.8435439887164738
1030,Cereal product 30,Cereal products,3.4,kg,0.9640570326040714
1031,Cereal product 31,Cereal products,3.31,kg,0.962819210705624
1032,Cereal product 32,Cereal products,1.18,kg,0.7452335870461854
1033,Cereal product 33,Cereal products,0.96,kg,0.885574211391882
1034,Cereal product 34,Cereal products,4.17,kg,0.9860101791992517
1035,Cereal product 35,Cereal products,4.69,kg,0.7595254840735957
1036,Cereal product 36,Cereal products,0.71,kg,0.9003766594713801
1037,Cereal product 37,Cereal products,2.61,kg,0.7524908619410513
1038,Cereal product 38,Cereal products,1.31,kg,0.9135579815344318
1039,Cereal product 39,Cereal products,2.65,kg,0.9201271691257162
1040,Cereal product 40,Cereal products,2.94,kg,0.8077885550876308
1041,Cereal product 41,Cereal products,1.02,kg,0.7661493860305141
1042,Cereal product 42,Cereal products,4.69,kg,0.7399224027254437
1043,Cereal product 43,Cereal products,3.15,kg,0.9271810050955839
1044,Cereal product 44,Cereal products,2.66,kg,0.8124691645256723
1045,Cereal product 45,Cereal products,4.43,kg,0.8019873870921878
1046,Cereal product 46,Cereal products,3.73,kg,0.8427634006463219
1047,Cereal product 47,Cereal products,4.17,kg,0.9721992640255951
1048,Cereal product 48,Cereal products,0.72,kg,0.7924855452847234
1049,Cereal product 49,Cereal products,3.9,kg,0.9290231719308314
1050,Cereal product 50,Cereal products,1.0,kg,0.8471700800091203
1051,Cereal product 51,Cereal products,4.87,kg,0.7562484811870543
1052,Cereal product 52,Cereal products,1.2,kg,0.970414743355501
1053,Cereal product 53,Cereal products,3.17,kg,0.824605657602276
1054,Cereal product 54,Cereal products,3.84,kg,0.9217160512136807
1055,Cereal product 55,Cereal products,1.81,kg,0.9746287851932153
1056,Cereal product 56,Cereal products,0.75,kg,0.8850085374717911
1057,Cereal product 57,Cereal products,2.85,kg,0.7164170349273076
1058,Cereal product 58,Cereal products,2.51,kg,0.8097814119321501
1059,Cereal product 59,Cereal products,3.14,kg,0.7341825910206141
1060,Cereal product 60,Cereal products,2.64,kg,0.9623367014585665
1061,Cereal product 61,Cereal products,3.25,kg,0.9390629285878213
1062,Cereal product 62,Cereal products,4.47,kg,0.8146803995004632
1063,Cereal product 63,Cereal products,3.71,kg,0.8996969289060671
1064,Cereal product 64,Cereal products,4.51,kg,0.8774066861993108
1065,Cereal product 65,Cereal products,4.78,kg,0.9221402309373965
1066,Cereal product 66,Cereal products,1.26,kg,0.7061432762989923
1067,Cereal product 67,Cereal products,4.61,kg,0.8114311956280342
1068,Cereal product 68,Cereal products,1.02,kg,0.9396559520940413
1069,Cereal product 69,Cereal products,3.8,kg,0.9212813102210154
1070,Cereal product 70,Cereal products,2.04,kg,0.7335396348552788
1071,Cereal product 71,Cereal products,4.37,kg,0.8977581904269449
1072,Cereal product 72,Cereal products,2.02,kg,0.7964727739240854
1073,Cereal product 73,Cereal products,1.25,kg,0.7995055925448022
1074,Cereal product 74,Cereal products,4.15,kg,0.7207123449027684
1075,Cereal product 75,Cereal products,1.47,kg,0.9732563411825719
1076,Cereal product 76,Cereal products,3.07,kg,0.7464426363334529
1077,Cereal product 77,Cereal products,1.03,kg,0.8199305960981286
1078,Cereal product 78,Cereal products,3.28,kg,0.8387008853295714
1079,Cereal product 79,Cereal products,3.94,kg,0.7942859524942966
1080,Cereal product 80,Cereal products,2.34,kg,0.9827437268926073
1081,Cereal product 81,Cereal products,2.69,kg,0.8949404053492477
1082,Cereal product 82,Cereal products,2.7,kg,0.8860707632831286
1083,Cereal product 83,Cereal products,4.53,kg,0.907150553897236
1084,Cereal product 84,Cereal products,3.57,kg,0.749702655411305
1085,Cereal product 85,Cereal products,1.84,kg,0.9188870096531984
1086,Cereal product 86,Cereal products,3.43,kg,0.7159290646160196
1087,Cereal product 87,Cereal products,3.4,kg,0.9098992265333139
1088,Cereal product 88,Cereal products,4.91,kg,0.7270713445060591
1089,Cereal product 89,Cereal products,4.16,kg,0.7536782168110989
