ef_id,type_id,confidence
ef_1de218d2,type_1,0.54
ef_58dafab0,type_1,0.85
ef_2d04d911,type_1,0.62
ef_db01b6c6,type_1,0.67
ef_8e4ef750,type_1,0.88
ef_ac1fb239,type_1,0.58
ef_64cfd172,type_1,0.88
ef_70f1ce77,type_1,0.76
ef_b781e77c,type_1,0.56
ef_e3d325c7,type_1,0.93
ef_e8d83cc9,type_1,0.78
ef_c1f1f7e2,type_1,0.59
ef_f3250cd3,type_1,0.54
ef_8e33e04e,type_1,0.79
ef_159b6c29,type_1,0.9
ef_bc2155bd,type_1,0.86
ef_d770ca42,type_1,0.84
ef_3336415e,type_1,0.91
ef_987d947b,type_1,0.91
ef_ebdfa2d0,type_1,0.84
ef_3c66f90e,type_1,0.72
ef_9ee68dde,type_1,0.56
ef_5e8d9ab1,type_1,0.7
ef_22419d66,type_1,0.59
ef_0307f5f0,type_1,0.93
ef_24654aac,type_1,0.88
ef_5cbec335,type_1,0.54
ef_ae8617d3,type_1,0.7
ef_67723e1e,type_1,0.72
ef_0445d0a5,type_1,0.9
ef_f28cf4be,type_1,0.52
ef_a0d8f5ff,type_1,0.66
ef_b1fed7a2,type_1,0.62
ef_80241759,type_1,0.57
ef_aba96d3a,type_1,0.84
ef_468fabd8,type_1,0.63
ef_e45f8b23,type_1,0.69
ef_b730844e,type_1,0.71
ef_5469b017,type_1,0.52
ef_ed5c75b1,type_1,0.76
ef_b6e15e1b,type_1,0.65
ef_d58d47e3,type_1,0.74
ef_c6c381f9,type_1,0.9
ef_94d28cfe,type_1,0.91
ef_0235da2a,type_1,0.5
ef_c272a617,type_1,0.84
ef_acb79a2c,type_1,0.52
ef_5efd2ed0,type_1,0.81
ef_7706ff89,type_1,0.83
ef_c94c71af,type_1,0.94
ef_7c7befb8,type_2,0.88
ef_160c0605,type_2,0.67
ef_8c28d523,type_2,0.8
ef_20ad22a7,type_2,0.78
ef_6c7333cd,type_2,0.74
ef_c3fd3c5e,type_2,0.75
ef_30469cca,type_2,0.67
ef_0c83f60a,type_2,0.79
ef_48a616a1,type_2,0.61
ef_ed351a1c,type_2,0.95
ef_c41ab901,type_2,0.81
ef_cac38284,type_2,0.87
ef_d8e77b9a,type_2,0.6
ef_02a9e5f2,type_2,0.75
ef_c15d56ee,type_2,0.67
ef_a9cead62,type_2,0.59
ef_7da67fbe,type_2,0.71
ef_e241ef31,type_2,0.87
ef_056d7380,type_2,0.53
ef_494b1b3d,type_2,0.68
ef_ed2b1ac3,type_2,0.71
ef_5f81044e,type_2,0.54
ef_f477f0c4,type_2,0.79
ef_ca183074,type_2,0.64
ef_b0bd32bd,type_2,0.53
ef_99ec271e,type_2,0.56
ef_ab36acbb,type_2,0.57
ef_27c6a7a1,type_2,0.54
ef_5eb1624c,type_2,0.87
ef_574e8dd8,type_2,0.58
ef_fd331c38,type_2,0.85
ef_9c1b36cb,type_2,0.8
ef_a5934e24,type_2,0.75
ef_ce178b32,type_2,0.56
ef_c8ff3764,type_2,0.8
ef_a30af38d,type_2,0.9
ef_482def61,type_2,0.54
ef_897e6050,type_2,0.86
ef_48954c51,type_2,0.94
ef_ea877163,type_2,0.73
ef_92ddc355,type_3,0.84
ef_fa61e25b,type_3,0.91
ef_648ed538,type_3,0.88
ef_d1a1b08f,type_3,0.78
ef_4a882c26,type_3,0.84
ef_bf26d8fb,type_3,0.58
ef_e428cce6,type_3,0.58
ef_2f40aebe,type_3,0.95
ef_80adb5ee,type_3,0.5
ef_c6145c3b,type_3,0.63
ef_7561bed0,type_3,0.68
ef_7875911f,type_3,0.78
ef_f3488d75,type_3,0.71
ef_506f28a6,type_3,0.8
ef_36d07010,type_3,0.68
ef_8e793d66,type_3,0.59
ef_d2b6ee69,type_3,0.75
ef_020007aa,type_3,0.73
ef_1d3b7325,type_3,0.86
ef_88580d64,type_3,0.91
ef_157e3898,type_3,0.57
ef_8dd74aa5,type_3,0.75
ef_fd038f28,type_3,0.91
ef_1bedb443,type_3,0.59
ef_aee8a572,type_3,0.92
ef_4714bbbf,type_3,0.91
ef_48b46b81,type_3,0.51
ef_71a49446,type_3,0.55
ef_501e1dd3,type_3,0.58
ef_fb620201,type_3,0.7
ef_caf7c6b4,type_3,0.53
ef_10764664,type_3,0.9
ef_9e16c4dc,type_3,0.76
ef_f556cfc1,type_3,0.56
ef_7ca76a6b,type_3,0.86
ef_8544bdcb,type_3,0.62
ef_855990a8,type_3,0.61
ef_59221b38,type_3,0.67
ef_f0661a90,type_3,0.6
ef_eb43fc14,type_3,0.63
ef_94a150de,type_3,0.82
ef_0cc146ae,type_3,0.95
ef_1f62b1ba,type_3,0.69
ef_115ef342,type_3,0.51
ef_f5ba5e34,type_3,0.87
ef_4e45bc64,type_3,0.71
ef_482c3ae8,type_3,0.6
ef_1d5dbf46,type_3,0.57
ef_96db6ad1,type_3,0.93
