ef_id,region_code,confidence
ef_1de218d2,SAM,0.54
ef_58dafab0,EUR,0.85
ef_2d04d911,ASI,0.62
ef_db01b6c6,SAM,0.67
ef_8e4ef750,NAM,0.88
ef_ac1fb239,NAM,0.58
ef_64cfd172,EUR,0.88
ef_70f1ce77,EUR,0.76
ef_b781e77c,EUR,0.56
ef_e3d325c7,ASI,0.93
ef_e8d83cc9,ASI,0.78
ef_c1f1f7e2,NAM,0.59
ef_f3250cd3,NAM,0.54
ef_8e33e04e,ASI,0.79
ef_159b6c29,NAM,0.9
ef_bc2155bd,EUR,0.86
ef_d770ca42,OCE,0.84
ef_3336415e,OCE,0.91
ef_987d947b,AFR,0.91
ef_ebdfa2d0,GLB,0.84
ef_3c66f90e,OCE,0.72
ef_9ee68dde,OCE,0.56
ef_5e8d9ab1,NAM,0.7
ef_22419d66,OCE,0.59
ef_0307f5f0,AFR,0.93
ef_24654aac,NAM,0.88
ef_5cbec335,SAM,0.54
ef_ae8617d3,EUR,0.7
ef_67723e1e,SAM,0.72
ef_0445d0a5,SAM,0.9
ef_f28cf4be,OCE,0.52
ef_a0d8f5ff,AFR,0.66
ef_b1fed7a2,SAM,0.62
ef_80241759,GLB,0.57
ef_aba96d3a,ASI,0.84
ef_468fabd8,NAM,0.63
ef_e45f8b23,ASI,0.69
ef_b730844e,AFR,0.71
ef_5469b017,SAM,0.52
ef_ed5c75b1,ASI,0.76
ef_b6e15e1b,OCE,0.65
ef_d58d47e3,ASI,0.74
ef_c6c381f9,NAM,0.9
ef_94d28cfe,AFR,0.91
ef_0235da2a,NAM,0.5
ef_c272a617,AFR,0.84
ef_acb79a2c,GLB,0.52
ef_5efd2ed0,OCE,0.81
ef_7706ff89,AFR,0.83
ef_c94c71af,AFR,0.94
ef_7c7befb8,OCE,0.88
ef_160c0605,EUR,0.67
ef_8c28d523,NAM,0.8
ef_20ad22a7,AFR,0.78
ef_6c7333cd,GLB,0.74
ef_c3fd3c5e,EUR,0.75
ef_30469cca,OCE,0.67
ef_0c83f60a,AFR,0.79
ef_48a616a1,GLB,0.61
ef_ed351a1c,ASI,0.95
ef_c41ab901,EUR,0.81
ef_cac38284,GLB,0.87
ef_d8e77b9a,AFR,0.6
ef_02a9e5f2,AFR,0.75
ef_c15d56ee,OCE,0.67
ef_a9cead62,SAM,0.59
ef_7da67fbe,NAM,0.71
ef_e241ef31,AFR,0.87
ef_056d7380,GLB,0.53
ef_494b1b3d,NAM,0.68
ef_ed2b1ac3,GLB,0.71
ef_5f81044e,SAM,0.54
ef_f477f0c4,EUR,0.79
ef_ca183074,SAM,0.64
ef_b0bd32bd,SAM,0.53
ef_99ec271e,NAM,0.56
ef_ab36acbb,ASI,0.57
ef_27c6a7a1,SAM,0.54
ef_5eb1624c,EUR,0.87
ef_574e8dd8,AFR,0.58
ef_fd331c38,GLB,0.85
ef_9c1b36cb,NAM,0.8
ef_a5934e24,ASI,0.75
ef_ce178b32,AFR,0.56
ef_c8ff3764,NAM,0.8
ef_a30af38d,EUR,0.9
ef_482def61,AFR,0.54
ef_897e6050,SAM,0.86
ef_48954c51,EUR,0.94
ef_ea877163,GLB,0.73
ef_92ddc355,SAM,0.84
ef_fa61e25b,GLB,0.91
ef_648ed538,NAM,0.88
ef_d1a1b08f,AFR,0.78
ef_4a882c26,ASI,0.84
ef_bf26d8fb,NAM,0.58
ef_e428cce6,ASI,0.58
ef_2f40aebe,AFR,0.95
ef_80adb5ee,AFR,0.5
ef_c6145c3b,EUR,0.63
ef_7561bed0,NAM,0.68
ef_7875911f,EUR,0.78
ef_f3488d75,EUR,0.71
ef_506f28a6,SAM,0.8
ef_36d07010,AFR,0.68
ef_8e793d66,GLB,0.59
ef_d2b6ee69,GLB,0.75
ef_020007aa,OCE,0.73
ef_1d3b7325,AFR,0.86
ef_88580d64,NAM,0.91
ef_157e3898,ASI,0.57
ef_8dd74aa5,NAM,0.75
ef_fd038f28,AFR,0.91
ef_1bedb443,NAM,0.59
ef_aee8a572,SAM,0.92
ef_4714bbbf,NAM,0.91
ef_48b46b81,AFR,0.51
ef_71a49446,SAM,0.55
ef_501e1dd3,GLB,0.58
ef_fb620201,NAM,0.7
ef_caf7c6b4,ASI,0.53
ef_10764664,ASI,0.9
ef_9e16c4dc,GLB,0.76
ef_f556cfc1,NAM,0.56
ef_7ca76a6b,OCE,0.86
ef_8544bdcb,SAM,0.62
ef_855990a8,SAM,0.61
ef_59221b38,SAM,0.67
ef_f0661a90,SAM,0.6
ef_eb43fc14,EUR,0.63
ef_94a150de,EUR,0.82
ef_0cc146ae,GLB,0.95
ef_1f62b1ba,NAM,0.69
ef_115ef342,SAM,0.51
ef_f5ba5e34,ASI,0.87
ef_4e45bc64,EUR,0.71
ef_482c3ae8,NAM,0.6
ef_1d5dbf46,NAM,0.57
ef_96db6ad1,EUR,0.93
ef_68af7cf7,OCE,0.63
ef_7183df7a,AFR,0.56
ef_ff8b99de,SAM,0.87
ef_f338700f,OCE,0.83
ef_55953bce,GLB,0.52
ef_4f237136,AFR,0.79
ef_e4cc0d3c,OCE,0.53
ef_5a7110fb,ASI,0.6
ef_2e226569,AFR,0.82
ef_daf6591d,NAM,0.59
ef_ac274f21,ASI,0.57
ef_da541d48,SAM,0.6
ef_df6482b9,GLB,0.77
ef_f3b036bd,EUR,0.51
ef_11e84814,OCE,0.87
ef_352ec38d,OCE,0.62
ef_fe09060f,EUR,0.87
ef_f1f425a9,AFR,0.89
ef_3c6a304e,NAM,0.59
ef_ea143494,NAM,0.94
ef_ed781dbd,SAM,0.63
ef_6c364bd9,AFR,0.51
ef_c56b3433,EUR,0.51
ef_410b1b55,SAM,0.77
ef_9868458e,OCE,0.64
ef_b10b5d32,ASI,0.88
ef_1547192e,OCE,0.54
ef_c5342ab6,GLB,0.65
ef_ac0e8199,ASI,0.71
ef_7747ef4f,EUR,0.64
ef_234067b0,SAM,0.86
ef_8fab9b7a,OCE,0.94
ef_e0bf012e,SAM,0.56
ef_c107e1f5,ASI,0.71
ef_68982da6,OCE,0.82
ef_c00600bc,EUR,0.54
ef_ccac865f,ASI,0.62
ef_1e4242e9,GLB,0.64
ef_6ec1031b,NAM,0.54
ef_aef39309,EUR,0.89
ef_70afce47,OCE,0.77
ef_4a1a32a7,EUR,0.74
ef_eea2cd3c,EUR,0.7
ef_7729549d,AFR,0.79
ef_3b0bf962,ASI,0.95
ef_30cdff51,OCE,0.84
ef_c4908a04,NAM,0.57
ef_368e8dd4,EUR,0.54
ef_3c60e6d2,EUR,0.53
ef_430461df,OCE,0.71
ef_da99be56,ASI,0.81
ef_bb31f817,IN,0.9
ef_12329ddc,IN,0.9
ef_32e4dd15,CN,0.9
ef_0fa5de6b,USA,0.9
ef_187fe705,BR,0.9
ef_47a8f2af,AU,0.9
ef_ac64aeb1,ZA,0.9
ef_aa1fa875,RU,0.9
ef_e4559d71,ID,0.7
ef_3a803e1c,CA,0.7
ef_4727f0f3,USA,0.7
ef_158c37e6,USA,0.7
ef_3316c532,USA,0.7
ef_9a9cda59,USA,0.7
ef_65baed61,USA,0.7
ef_9abcb52f,USA,0.7
ef_c35dde3e,USA,0.7
ef_26a28f02,USA,0.7
ef_974e0eca,USA,0.7
ef_3c4d3989,USA,0.7
ef_2e64e9a3,USA,0.7
ef_e6263dd1,USA,0.7
ef_8cfeede5,USA,0.7
ef_d1429761,USA,0.7
ef_81a707f3,USA,0.7
ef_925a17ee,USA,0.7
ef_ca51c2b6,USA,0.7
ef_92b88a04,USA,0.7
ef_de11e2ed,USA,0.7
ef_242afb6e,USA,0.7
ef_d0b0b856,USA,0.7
ef_a65b2304,USA,0.7
ef_ebf0bf0a,USA,0.7
ef_42218bed,USA,0.7
ef_19c4d69a,USA,0.7
ef_9dc8161e,USA,0.7
ef_e2adef80,USA,0.7
ef_0620a32f,USA,0.7
ef_5eb3e413,USA,0.7
ef_f4a7ade2,USA,0.7
ef_99bea43d,USA,0.7
ef_4faf1711,USA,0.7
ef_67a6e8cf,USA,0.7
ef_bc3011e3,USA,0.7
ef_61e75552,USA,0.7
ef_6b10efc5,USA,0.7
ef_01dce10e,USA,0.7
ef_4e9d3631,USA,0.7
ef_0fa90c81,USA,0.7
ef_83fdc78c,USA,0.7
ef_e27e964f,USA,0.7
ef_ac22cf9a,USA,0.7
ef_9e7cbb95,USA,0.7
ef_f2243742,USA,0.7
ef_6132534d,USA,0.7
ef_d632798d,USA,0.7
ef_8330f406,USA,0.7
ef_b8f1d813,USA,0.7
ef_5e045356,USA,0.7
ef_871aedd3,USA,0.7
ef_8e1e8c41,USA,0.7
ef_261afe17,USA,0.7
ef_d768d8cb,USA,0.7
ef_7cf60a71,USA,0.7
ef_f222cedd,USA,0.7
ef_548ac078,USA,0.7
ef_4b45671c,USA,0.7
ef_d08aca7f,USA,0.7
ef_ca8f8c3a,USA,0.7
ef_ba4ac822,USA,0.7
ef_2768de36,USA,0.7
ef_08aee4a2,USA,0.7
ef_184cef5d,USA,0.7
ef_17378fc7,USA,0.7
ef_7354bc8d,USA,0.7
ef_37ad32d2,USA,0.7
ef_00e36ada,USA,0.7
ef_7a70b799,USA,0.7
ef_1c3a0745,USA,0.7
ef_e8f6e9b2,USA,0.7
ef_3de11ee9,USA,0.7
ef_3da6c5d7,USA,0.7
ef_08f73468,USA,0.7
ef_0036aea4,USA,0.7
ef_251e843d,USA,0.7
ef_d982430b,USA,0.7
ef_b66eed9a,USA,0.7
ef_57d6294c,USA,0.7
ef_8580eeb7,USA,0.7
ef_a7f30a18,USA,0.7
ef_3ad4b8a5,USA,0.7
ef_c092db6a,USA,0.7
ef_0dc5610a,USA,0.7
ef_67abc57e,USA,0.7
ef_1365d3e5,USA,0.7
ef_1f23587c,USA,0.7
ef_4c5c9b61,USA,0.7
ef_094ac51b,USA,0.7
ef_f5e6b98f,USA,0.7
ef_8184394d,USA,0.7
ef_71ebd1b9,USA,0.7
ef_a735d8a0,USA,0.7
ef_57d04710,USA,0.7
ef_efbf9dd5,USA,0.7
ef_40c14835,USA,0.7
ef_62778810,USA,0.7
ef_08750c22,USA,0.7
ef_f1cd9c6d,USA,0.7
ef_8cbb903f,USA,0.7
ef_33fe352a,USA,0.7
ef_aa89a111,USA,0.7
ef_54b042e8,USA,0.7
ef_801b5e97,USA,0.7
ef_afc9d851,USA,0.7
ef_fc5cacf8,USA,0.7
ef_726b42dc,USA,0.7
ef_40c92ee5,USA,0.7
ef_2e22fd86,USA,0.7
ef_c95af1e9,USA,0.7
ef_987b7c7c,USA,0.7
ef_80094711,USA,0.7
ef_f52a044d,USA,0.7
ef_51edf99e,USA,0.7
ef_18d313b9,USA,0.7
ef_67a4d4ea,USA,0.7
ef_b2b086ac,USA,0.7
ef_34baa741,USA,0.7
ef_16229bf0,USA,0.7
ef_03bd9364,USA,0.7
ef_a94628ea,USA,0.7
ef_965b8b7d,USA,0.7
ef_60dadad3,USA,0.7
ef_e31ccd51,USA,0.7
ef_aff883b2,USA,0.7
ef_7ed5cd91,USA,0.7
ef_7e715d5e,USA,0.7
ef_07b31cc2,USA,0.7
ef_11349842,USA,0.7
ef_7e862dd8,USA,0.7
ef_bc2205d0,USA,0.7
ef_de8258e1,USA,0.7
ef_7199db75,USA,0.7
ef_9be91e0d,USA,0.7
ef_df3893a4,USA,0.7
ef_5198b20a,USA,0.7
ef_bb77a504,USA,0.7
ef_de85182a,USA,0.7
ef_212123ed,USA,0.7
ef_37072b16,USA,0.7
ef_40ac301c,USA,0.7
ef_f5f133bd,USA,0.7
ef_ec295ac8,USA,0.7
ef_c11b641b,USA,0.7
ef_537b1816,USA,0.7
ef_8ac0550e,USA,0.7
ef_40360879,USA,0.7
ef_bdc178f9,USA,0.7
ef_6e1902b0,USA,0.7
ef_40129365,USA,0.7
ef_cbfdc82e,USA,0.7
ef_d7ae25ea,USA,0.7
ef_1887c811,USA,0.7
ef_70bfa2f8,USA,0.7
ef_3762aa61,USA,0.7
ef_08f468e3,USA,0.7
ef_789b5e8e,USA,0.7
ef_5c2eea44,USA,0.7
ef_7072bddd,USA,0.7
ef_b866685b,USA,0.7
ef_13f8b6d3,USA,0.7
ef_5d970315,USA,0.7
ef_2e38ca33,USA,0.7
ef_2c2b8bac,USA,0.7
ef_6c2ab112,USA,0.7
ef_7fb9bb07,USA,0.7
ef_612609d6,USA,0.7
ef_fbd966a5,USA,0.7
ef_43a7ff7d,USA,0.7
ef_2043ec06,USA,0.7
ef_8f57ea6b,USA,0.7
ef_1a18022b,USA,0.7
ef_d845770a,USA,0.7
ef_c00a48ba,USA,0.7
ef_e5f70fbc,USA,0.7
ef_8921b07f,USA,0.7
ef_c55b9846,USA,0.7
ef_d91daeb8,USA,0.7
ef_5b86f308,USA,0.7
ef_53df5541,USA,0.7
ef_37707658,USA,0.7
ef_f5f5a6bc,USA,0.7
ef_cd1c13fc,USA,0.7
ef_d27b45d0,USA,0.7
ef_40a71c14,USA,0.7
ef_47576982,USA,0.7
ef_8f09a506,USA,0.7
ef_68f31ab0,USA,0.7
ef_ae70631b,USA,0.7
ef_8f286d83,USA,0.7
ef_3fa96721,USA,0.7
ef_88e5d438,USA,0.7
ef_fccf91d8,USA,0.7
ef_c6bdca21,USA,0.7
ef_93f67430,USA,0.7
ef_183663c1,USA,0.7
ef_d6eda509,USA,0.7
ef_69bc1239,USA,0.7
ef_3e4fea88,USA,0.7
ef_1930790f,USA,0.7
ef_95dd3726,USA,0.7
ef_c2d7376c,USA,0.7
ef_0b7ee441,USA,0.7
ef_79c5ae95,USA,0.7
ef_58637725,USA,0.7
ef_7a4b19c8,USA,0.7
ef_cb25b0d4,USA,0.7
ef_721fd29a,USA,0.7
ef_0f0fcdc7,USA,0.7
ef_52c3fc35,USA,0.7
ef_38d6873b,USA,0.7
ef_338adab2,USA,0.7
ef_e3d1da41,USA,0.7
ef_aa4df1a4,USA,0.7
ef_5c187419,USA,0.7
ef_19b18520,USA,0.7
ef_0e51346e,USA,0.7
ef_03e51f6e,USA,0.7
ef_d72f8922,USA,0.7
ef_cc0524b9,USA,0.7
ef_b3804ecc,USA,0.7
ef_4400265f,USA,0.7
ef_cc1141c1,USA,0.7
ef_9ebb85b9,USA,0.7
ef_b9313882,USA,0.7
ef_453c7067,USA,0.7
ef_0d425f4f,USA,0.7
ef_3d1c8826,USA,0.7
ef_219441e9,USA,0.7
ef_06b8aea3,USA,0.7
ef_316aca90,USA,0.7
ef_dcee58ad,USA,0.7
ef_22bc426f,USA,0.7
ef_0ce1284d,USA,0.7
ef_bc9d17a1,USA,0.7
ef_64762bd3,USA,0.7
ef_cef34b57,USA,0.7
ef_81dc0a0d,USA,0.7
ef_a80d0ff1,USA,0.7
ef_8a10c744,USA,0.7
ef_9eaa6f0c,USA,0.7
ef_f363b446,USA,0.7
ef_02538182,USA,0.7
ef_c8b99a2c,USA,0.7
ef_fd341cd3,USA,0.7
ef_190aa023,USA,0.7
ef_3e12be9b,USA,0.7
ef_3c2edfd3,USA,0.7
ef_f61fca03,USA,0.7
ef_42e07648,USA,0.7
ef_ad742e74,USA,0.7
ef_782e239a,USA,0.7
ef_e0d97592,USA,0.7
ef_5a23a49f,USA,0.7
ef_804cdefd,USA,0.7
ef_3ba3abdb,USA,0.7
ef_a5d13996,USA,0.7
ef_06d1bc4c,USA,0.7
ef_aaf65ad6,USA,0.7
ef_524bd210,USA,0.7
ef_c0096fa8,USA,0.7
ef_d8897bb1,USA,0.7
ef_4e7b3f5f,USA,0.7
ef_2c405a3c,USA,0.7
ef_6c5cdaf5,USA,0.7
ef_2d237be6,USA,0.7
ef_f257f959,USA,0.7
ef_c9ed4c1c,USA,0.7
ef_aa3d3300,USA,0.7
ef_71dc5b7a,USA,0.7
ef_81b0b6bf,USA,0.7
ef_5fed57a5,USA,0.7
ef_8a2f9a9d,USA,0.7
ef_f659019d,USA,0.7
ef_a58f5a5a,USA,0.7
ef_1e5064c7,USA,0.7
ef_0d7a18ca,USA,0.7
ef_7b381ea2,USA,0.7
ef_3d82197b,USA,0.7
ef_12ed3e14,USA,0.7
ef_cfb7d4bf,USA,0.7
ef_e58d82f6,USA,0.7
ef_01a93a77,USA,0.7
ef_4e360e20,USA,0.7
ef_adaf1040,USA,0.7
ef_fe617ac5,USA,0.7
ef_324a582b,USA,0.7
ef_e5c2aa25,USA,0.7
ef_092ef6e7,USA,0.7
ef_bc552028,USA,0.7
ef_45f80d21,USA,0.7
ef_758a17de,USA,0.7
ef_b4b77a88,USA,0.7
ef_b0be9d4a,USA,0.7
ef_b453f4a4,USA,0.7
ef_e2b13a76,USA,0.7
ef_811e2a3f,USA,0.7
ef_af584077,USA,0.7
ef_ac290790,USA,0.7
ef_87f98fd8,USA,0.7
ef_69065317,USA,0.7
ef_2e281e7a,USA,0.7
ef_3d0ef328,USA,0.7
ef_f65628c2,USA,0.7
ef_c82861da,USA,0.7
ef_b15d81a0,USA,0.7
ef_cabac098,USA,0.7
ef_3c2774d3,USA,0.7
ef_be9c6c2e,USA,0.7
ef_63b583a5,USA,0.7
ef_86a82bcf,USA,0.7
ef_3a53695d,USA,0.7
ef_968135a9,USA,0.7
ef_8afbc85b,USA,0.7
ef_223cc4a2,USA,0.7
ef_8f71d0f6,USA,0.7
