ef_id,entity_id,entity_name,ef_value,ef_unit,confidence,is_outlier,multiplier_applied,timestamp
ef_1de218d2,IPCC_EFDB_Energy_Electricity_Generation_HFCs_0,Energy - Electricity Generation,0.0792,kg/year,0.54,True,False,2025-03-13
ef_58dafab0,IPCC_EFDB_Energy_Electricity_Generation_CH4_1,Energy - Electricity Generation,1.0759,kg/head,0.85,True,False,2025-03-13
ef_2d04d911,IPCC_EFDB_Energy_Transport_CO2_2,Energy - Transport,3.1701,kg/t,0.62,True,False,2025-03-13
ef_db01b6c6,IPCC_EFDB_Energy_Electricity_Generation_CO2_3,Energy - Electricity Generation,0.767,kg/t,0.67,True,False,2025-03-13
ef_8e4ef750,IPCC_EFDB_Energy_Fuel_Combustion_CO2_4,Energy - Fuel Combustion,4.2712,kg/kWh,0.88,True,False,2025-03-13
ef_ac1fb239,IPCC_EFDB_Energy_Transport_CO2_5,Energy - Transport,8.345,t/TJ,0.58,True,False,2025-03-13
ef_64cfd172,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_6,Energy - Fugitive Emissions,3.1804,t/TJ,0.88,True,False,2025-03-13
ef_70f1ce77,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_7,Energy - Fugitive Emissions,2.2761,t/TJ,0.76,True,False,2025-03-13
ef_b781e77c,IPCC_EFDB_Energy_Fuel_Combustion_CO2_8,Energy - Fuel Combustion,5.4176,kg/t,0.56,True,False,2025-03-13
ef_e3d325c7,IPCC_EFDB_Energy_Electricity_Generation_CO2_9,Energy - Electricity Generation,4.1437,t/TJ,0.93,True,False,2025-03-13
ef_e8d83cc9,IPCC_EFDB_Energy_Electricity_Generation_CO2_10,Energy - Electricity Generation,18.5761,kg/TJ,0.78,True,False,2025-03-13
ef_c1f1f7e2,IPCC_EFDB_Energy_Fuel_Combustion_CO2_11,Energy - Fuel Combustion,10.5873,kg/kWh,0.59,True,False,2025-03-13
ef_f3250cd3,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_12,Energy - Fugitive Emissions,3.7328,kg/kWh,0.54,True,False,2025-03-13
ef_8e33e04e,IPCC_EFDB_Energy_Electricity_Generation_CO2_13,Energy - Electricity Generation,11.067,t/TJ,0.79,True,False,2025-03-13
ef_159b6c29,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_14,Energy - Fugitive Emissions,2.1413,kg/kWh,0.9,True,False,2025-03-13
ef_bc2155bd,IPCC_EFDB_Energy_Fuel_Combustion_CO2_15,Energy - Fuel Combustion,6.0342,t/TJ,0.86,True,False,2025-03-13
ef_d770ca42,IPCC_EFDB_Energy_Fuel_Combustion_N2O_16,Energy - Fuel Combustion,0.8931,kg/TJ,0.84,True,False,2025-03-13
ef_3336415e,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_17,Energy - Fugitive Emissions,19.8171,t/TJ,0.91,True,True,2025-03-13
ef_987d947b,IPCC_EFDB_Energy_Fuel_Combustion_CO2_18,Energy - Fuel Combustion,1.2557,t/TJ,0.91,True,False,2025-03-13
ef_ebdfa2d0,IPCC_EFDB_Energy_Transport_CH4_19,Energy - Transport,1.6711,kg/head,0.84,True,False,2025-03-13
ef_3c66f90e,IPCC_EFDB_Energy_Transport_CO2_20,Energy - Transport,1.566,kg/TJ,0.72,True,True,2025-03-13
ef_9ee68dde,IPCC_EFDB_Energy_Electricity_Generation_CO2_21,Energy - Electricity Generation,5.9496,kg/kWh,0.56,True,False,2025-03-13
ef_5e8d9ab1,IPCC_EFDB_Energy_Fugitive_Emissions_N2O_22,Energy - Fugitive Emissions,1.0231,kg/ha,0.7,True,False,2025-03-13
ef_22419d66,IPCC_EFDB_Energy_Electricity_Generation_CH4_23,Energy - Electricity Generation,0.55,g/GJ,0.59,True,False,2025-03-13
ef_0307f5f0,IPCC_EFDB_Energy_Fuel_Combustion_CH4_24,Energy - Fuel Combustion,2.5246,g/GJ,0.93,True,True,2025-03-13
ef_24654aac,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_25,Energy - Fugitive Emissions,31.783,kg/t,0.88,True,False,2025-03-13
ef_5cbec335,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_26,Energy - Fugitive Emissions,5.8181,t/TJ,0.54,True,False,2025-03-13
ef_ae8617d3,IPCC_EFDB_Energy_Fugitive_Emissions_CH4_27,Energy - Fugitive Emissions,1.8441,kg/TJ,0.7,True,False,2025-03-13
ef_67723e1e,IPCC_EFDB_Energy_Transport_CO2_28,Energy - Transport,2.4927,kg/kWh,0.72,True,False,2025-03-13
ef_0445d0a5,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_29,Energy - Fugitive Emissions,41.6616,kg/kWh,0.9,True,False,2025-03-13
ef_f28cf4be,IPCC_EFDB_Energy_Transport_CO2_30,Energy - Transport,3.6699,kg/t,0.52,True,False,2025-03-13
ef_a0d8f5ff,IPCC_EFDB_Energy_Electricity_Generation_CO2_31,Energy - Electricity Generation,20.9794,kg/kWh,0.66,True,False,2025-03-13
ef_b1fed7a2,IPCC_EFDB_Energy_Fugitive_Emissions_NF3_32,Energy - Fugitive Emissions,0.0433,kg/unit,0.62,True,True,2025-03-13
ef_80241759,IPCC_EFDB_Energy_Transport_CO2_33,Energy - Transport,7.6895,kg/t,0.57,True,False,2025-03-13
ef_aba96d3a,IPCC_EFDB_Energy_Fugitive_Emissions_CH4_34,Energy - Fugitive Emissions,0.9091,g/GJ,0.84,True,False,2025-03-13
ef_468fabd8,IPCC_EFDB_Energy_Transport_SF6_35,Energy - Transport,0.1923,g/kg,0.63,True,False,2025-03-13
ef_e45f8b23,IPCC_EFDB_Energy_Transport_N2O_36,Energy - Transport,0.3395,kg/head,0.69,True,False,2025-03-13
ef_b730844e,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_37,Energy - Fugitive Emissions,8.3318,kg/t,0.71,True,False,2025-03-13
ef_5469b017,IPCC_EFDB_Energy_Fuel_Combustion_CH4_38,Energy - Fuel Combustion,2.3391,g/GJ,0.52,True,False,2025-03-13
ef_ed5c75b1,IPCC_EFDB_Energy_Electricity_Generation_CO2_39,Energy - Electricity Generation,1.6406,kg/t,0.76,True,True,2025-03-13
ef_b6e15e1b,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_40,Energy - Fugitive Emissions,4.6295,kg/t,0.65,True,False,2025-03-13
ef_d58d47e3,IPCC_EFDB_Energy_Transport_CO2_41,Energy - Transport,8.4376,kg/TJ,0.74,True,False,2025-03-13
ef_c6c381f9,IPCC_EFDB_Energy_Fuel_Combustion_CO2_42,Energy - Fuel Combustion,6.714,kg/kWh,0.9,True,False,2025-03-13
ef_94d28cfe,IPCC_EFDB_Energy_Fuel_Combustion_PFCs_43,Energy - Fuel Combustion,0.0639,kg/unit,0.91,True,True,2025-03-13
ef_0235da2a,IPCC_EFDB_Energy_Fugitive_Emissions_CO2_44,Energy - Fugitive Emissions,14.8045,kg/t,0.5,True,False,2025-03-13
ef_c272a617,IPCC_EFDB_Energy_Electricity_Generation_N2O_45,Energy - Electricity Generation,1.0302,kg/ha,0.84,True,False,2025-03-13
ef_acb79a2c,IPCC_EFDB_Energy_Transport_PFCs_46,Energy - Transport,0.0792,kg/unit,0.52,True,False,2025-03-13
ef_5efd2ed0,IPCC_EFDB_Energy_Fuel_Combustion_CH4_47,Energy - Fuel Combustion,0.3514,g/GJ,0.81,True,False,2025-03-13
ef_7706ff89,IPCC_EFDB_Energy_Transport_SF6_48,Energy - Transport,0.0515,kg/year,0.83,True,False,2025-03-13
ef_c94c71af,IPCC_EFDB_Energy_Fuel_Combustion_CO2_49,Energy - Fuel Combustion,3.5565,kg/TJ,0.94,True,False,2025-03-13
ef_7c7befb8,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_50,Industrial Processes and Product Use - Metal Industry,3.4121,kg/kWh,0.88,False,False,2025-03-13
ef_160c0605,IPCC_EFDB_Industrial_Processes_and_Product_Use_Electronics_Industry_CO2_51,Industrial Processes and Product Use - Electronics Industry,7.5783,kg/TJ,0.67,False,False,2025-03-13
ef_8c28d523,IPCC_EFDB_Industrial_Processes_and_Product_Use_Mineral_Industry_CO2_52,Industrial Processes and Product Use - Mineral Industry,2.3777,kg/t,0.8,False,False,2025-03-13
ef_20ad22a7,IPCC_EFDB_Industrial_Processes_and_Product_Use_Electronics_Industry_HFCs_53,Industrial Processes and Product Use - Electronics Industry,0.2533,kg/year,0.78,False,False,2025-03-13
ef_6c7333cd,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_N2O_54,Industrial Processes and Product Use - Metal Industry,0.7373,g/GJ,0.74,False,False,2025-03-13
ef_c3fd3c5e,IPCC_EFDB_Industrial_Processes_and_Product_Use_Mineral_Industry_CO2_55,Industrial Processes and Product Use - Mineral Industry,15.7468,kg/TJ,0.75,False,False,2025-03-13
ef_30469cca,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_56,Industrial Processes and Product Use - Metal Industry,13.5363,kg/t,0.67,False,False,2025-03-13
ef_0c83f60a,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_57,Industrial Processes and Product Use - Metal Industry,51.6245,t/TJ,0.79,True,False,2025-03-13
ef_48a616a1,IPCC_EFDB_Industrial_Processes_and_Product_Use_Electronics_Industry_CO2_58,Industrial Processes and Product Use - Electronics Industry,14.6522,kg/TJ,0.61,False,False,2025-03-13
ef_ed351a1c,IPCC_EFDB_Industrial_Processes_and_Product_Use_Chemical_Industry_CO2_59,Industrial Processes and Product Use - Chemical Industry,2.4413,kg/TJ,0.95,False,False,2025-03-13
ef_c41ab901,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_60,Industrial Processes and Product Use - Metal Industry,0.9932,kg/kWh,0.81,False,False,2025-03-13
ef_cac38284,IPCC_EFDB_Industrial_Processes_and_Product_Use_Mineral_Industry_CH4_61,Industrial Processes and Product Use - Mineral Industry,1.5113,g/GJ,0.87,False,False,2025-03-13
ef_d8e77b9a,IPCC_EFDB_Industrial_Processes_and_Product_Use_Mineral_Industry_CH4_62,Industrial Processes and Product Use - Mineral Industry,0.4247,kg/head,0.6,False,False,2025-03-13
ef_02a9e5f2,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_63,Industrial Processes and Product Use - Metal Industry,5.2581,t/TJ,0.75,False,False,2025-03-13
ef_c15d56ee,IPCC_EFDB_Industrial_Processes_and_Product_Use_Electronics_Industry_N2O_64,Industrial Processes and Product Use - Electronics Industry,0.2638,g/GJ,0.67,False,False,2025-03-13
ef_a9cead62,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_65,Industrial Processes and Product Use - Metal Industry,10.3169,kg/kWh,0.59,False,False,2025-03-13
ef_7da67fbe,IPCC_EFDB_Industrial_Processes_and_Product_Use_Mineral_Industry_CO2_66,Industrial Processes and Product Use - Mineral Industry,6.0098,kg/kWh,0.71,False,False,2025-03-13
ef_e241ef31,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_67,Industrial Processes and Product Use - Metal Industry,2.8936,t/TJ,0.87,False,False,2025-03-13
ef_056d7380,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_68,Industrial Processes and Product Use - Metal Industry,8.9469,kg/TJ,0.53,False,False,2025-03-13
ef_494b1b3d,IPCC_EFDB_Industrial_Processes_and_Product_Use_Chemical_Industry_CO2_69,Industrial Processes and Product Use - Chemical Industry,5.6357,t/TJ,0.68,False,False,2025-03-13
ef_ed2b1ac3,IPCC_EFDB_Industrial_Processes_and_Product_Use_Electronics_Industry_CH4_70,Industrial Processes and Product Use - Electronics Industry,2.7976,kg/TJ,0.71,False,False,2025-03-13
ef_5f81044e,IPCC_EFDB_Industrial_Processes_and_Product_Use_Mineral_Industry_N2O_71,Industrial Processes and Product Use - Mineral Industry,0.6445,kg/head,0.54,False,False,2025-03-13
ef_f477f0c4,IPCC_EFDB_Industrial_Processes_and_Product_Use_Chemical_Industry_N2O_72,Industrial Processes and Product Use - Chemical Industry,0.4995,kg/head,0.79,False,False,2025-03-13
ef_ca183074,IPCC_EFDB_Industrial_Processes_and_Product_Use_Electronics_Industry_CO2_73,Industrial Processes and Product Use - Electronics Industry,6.3442,kg/t,0.64,False,False,2025-03-13
ef_b0bd32bd,IPCC_EFDB_Industrial_Processes_and_Product_Use_Chemical_Industry_CO2_74,Industrial Processes and Product Use - Chemical Industry,17.4943,kg/kWh,0.53,False,False,2025-03-13
ef_99ec271e,IPCC_EFDB_Industrial_Processes_and_Product_Use_Metal_Industry_CO2_75,Industrial Processes and Product Use - Metal Industry,8.0853,kg/t,0.56,False,False,2025-03-13
